frame,time_s,segment,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
0,0.0,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
1,0.01,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
2,0.02,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
3,0.03,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
4,0.04,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
5,0.05,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
6,0.06,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
7,0.07,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
8,0.08,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
9,0.09,foot,0.0,0.0,-186.32635,0.0,0.0,0.0
0,0.0,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
1,0.01,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
2,0.02,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
3,0.03,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
4,0.04,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
5,0.05,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
6,0.06,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
7,0.07,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
8,0.08,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
9,0.09,shank,0.0,0.0,-156.9064,0.0,0.0,0.0
0,0.0,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
1,0.01,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
2,0.02,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
3,0.03,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
4,0.04,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
5,0.05,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
6,0.06,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
7,0.07,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
8,0.08,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
9,0.09,thigh,0.0,0.0,-88.25985,0.0,0.0,0.0
0,0.0,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
2,0.02,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
3,0.03,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
4,0.04,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
6,0.06,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
7,0.07,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
8,0.08,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
9,0.09,pelvis,0.0,0.0,0.0,0.0,0.0,0.0
